CorzineSort

name,color,priority
"Student2","Red","1",
"Student25","Red","1",
"Student43","Red","1",
"Student53","Red","3",
"Student54","Red","3",
"Student57","Red","3",
"Student55","Red","1",
"Student60","Red","1",
"Student12","Blue","0",
"Student13","Blue","0",
"Student14","Blue","0",
"Student17","Blue","0",
"Student20","Blue","0",
"Student29","Blue","0",
"Student44","Blue","0",
"Student50","Blue","0",
"Student1","Blue","0",
"Student6","Blue","0",
"Student64","Blue","0",
"Student65","Blue","0",
"Student32","Green","0",
"Student35","Green","0",
"Student4","Green","0",
"Student10","Green","0",
"Student18","Green","0",
"Student23","Green","0",
"Student58","g-Green","4",
"Student22","Green","0",
"Student28","Green","0",
"Student31","Green","0",
"Student34","Green","0",
"Student36","Green","0",
"Student40","Green","1",
"Student26","Orange","0",
"Student61","Orange","0",
"Student5","Orange","0",
"Student11","Orange","0",
"Student16","Orange","0",
"Student21","Orange","0",
"Student24","Orange","0",
"Student33","Orange","0",
"Student39","Orange","1",
"Student45","Orange","1",
"Student48","Orange","1",
"Student49","Orange","2",
"Student19","Yellow","0",
"Student27","Yellow","0",
"Student37","Yellow","0",
"Student8","Yellow","0",
"Student47","Yellow","0",
"Student3","Yellow","1",
"Student9","Yellow","1",
"Student15","Yellow","1",
"Student38","Yellow","0",
"Student41","Yellow","0",
"Student42","Yellow","0",
"Student51","Yellow","3",
"Student7","Brown","1",
"Student30","Brown","1",
"Student46","Brown","0",
"Student52","Brown","2",
"Student56","Brown","1",
"Student59","Brown","3",
"Student62","Brown","4",
"Student63","Brown","2",
